OrderID,Date,Region,CustomerName,Product,Quantity,UnitPrice,TotalSales,PaymentMethod
1001,2023-01-15,North,Unknown,Laptop,2.0,700.0,1400.0,Credit Card
1002,2023-01-16,South,Unknown,Mobile Phone,5.0,300.0,1500.0,UPI
1003,2023-01-17,East,Unknown,Headphones,10.0,50.0,500.0,Debit Card
1004,2023-01-18,West,Unknown,Laptop,1.0,720.0,720.0,Credit Card
1005,2023-01-19,North,Unknown,Mobile Phone,3.0,347.77777777777777,1043.3333333333333,UPI
1006,2023-01-20,South,Unknown,Keyboard,4.0,100.0,400.0,Wallet
1007,2023-01-21,East,Unknown,Monitor,2.0,200.0,400.0,Credit Card
1008,2023-01-22,West,Unknown,Laptop,2.8947368421052633,680.0,1968.421052631579,Credit Card
1009,2023-01-23,North,Unknown,Mobile Phone,4.0,295.0,1180.0,UPI
1010,2023-01-24,South,Unknown,Headphones,6.0,55.0,330.0,Debit Card
1011,2023-01-25,East,Unknown,Laptop,1.0,710.0,710.0,Wallet
1012,2023-01-26,West,Unknown,Monitor,2.0,210.0,420.0,Credit Card
1013,2023-01-27,North,Unknown,Keyboard,3.0,95.0,285.0,Credit Card
1014,2023-01-28,South,Unknown,Laptop,2.0,700.0,1400.0,UPI
1015,2023-01-29,East,Unknown,Mobile Phone,1.0,290.0,290.0,Wallet
1016,2023-01-30,West,Unknown,Monitor,3.0,195.0,585.0,Credit Card
1017,2023-01-31,North,Unknown,Tablet,2.0,450.0,900.0,UPI
1018,2023-02-01,South,Unknown,Smart Watch,1.0,200.0,200.0,Wallet
1019,2023-02-02,East,Unknown,Mobile Phone,2.0,310.0,620.0,UPI
1020,2023-02-03,West,Unknown,Laptop,1.0,347.77777777777777,700.0,Credit Card
